ItemSku,ItemDocumentValue,ConditionalCaption,UnconditionalCaption,,,,,,,
19283315462,http://static.meijer.com/Media/001/92833/0019283315462_0_A1C1_0600.png,image captioning :iane yankee candle,yankee candle - vanilla,,,,,,4,
88392962061,http://static.meijer.com/Media/008/83929/0088392962061_0_A1C1_0600.png,image captioning :in game night dvd,a dvd cover with dog and man,,,,,,3,
4549659042,http://static.meijer.com/Media/000/45496/0004549659042_0_A1C1_0600.png,image captioning :in the legend of zeia breathworld,the legend of zeia breath wild,,,,,,2,2.5625
63806007772,http://static.meijer.com/Media/006/38060/0063806007772_0_A1C1_0600.png,image captioning :in scotchin scotch tape,scotch super tape 50m,,,,,,3,
5389114549,http://static.meijer.com/Media/000/53891/0005389114549_1_A1C1_0600.png,image captioning :ianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,a blender with fruit in it,,,,,,4,
71981207883,http://static.meijer.com/Media/071/98120/0719812078830_a1c1_0600.png,image captioning :ion ice tray,a blue ice tray with ices inside,,,,,,2,
70882032091,http://static.meijer.com/Media/007/08820/0070882032091_1_A1C1_0600.png,image captioning :in comion com,the cotton sheet set in tau,,,,,,3,
9657700214,http://static.meijer.com/Media/000/96577/0009657700214_1_A1C1_0600.png,image captioning :ianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,a pair of blue and gold placemats,,,,,,3,
1117123892,http://static.meijer.com/Media/000/11171/0001117123892_0_A1C1_0600.png,image captioning :ian cleaning products,clean disple di,,,,,,2,
7065990674,http://static.meijer.com/Media/000/70659/0007065990674_0_A1C1_0600.png,image captioning :inginginginginginginginginginginginginginginginginginginginginginginginginginginginginging,a pink plastic pen with white tip,,,,,,1,
5150023913,http://static.meijer.com/Media/000/51500/0005150023913_1_A1C1_0600.png,image captioning :incoincoincoincoincoincoincoincoincoincoincoincoincoin,a can of food,,,,,,2,
7047000596,http://static.meijer.com/Media/007/04700/0070470005966_a1c1_0600.png,image captioning : yoi,yoit yo,,,,,,1,
85608200764,http://static.meijer.com/Media/008/56082/0085608200764_1_A1C1_0600.png,image captioning :in cairre cauairre cauair cauare,a box of califi pizza with caulii,,,,,,3,
4223837755,http://static.meijer.com/Media/000/42238/0004223837755_0_A1C1_0600.png,image captioning : haribo ski snicks gummies,"hario skis gummies, by hario, and more",,,,,,4,
1600016961,http://static.meijer.com/Media/000/16000/0001600016961_0_A1C1_0600.png,image captioning : fruityshaps,a box of fruity shapes cereal,,,,,,3,
1411391007,http://static.meijer.com/Media/000/14113/0001411391007_1_A1C1_0600.png,image captioning :infoionist wonderful roasted pis pi,a bag of roasted and salted pis,,,,,,3,
85192100671,http://static.meijer.com/Media/008/51921/0085192100671_1_A1C1_0600.png,image captioning :infoioning saa sa,a bag of red meat with white background,,,,,,1,
85777700421,http://static.meijer.com/Media/008/57777/0085777700421_1_A1C1_0600.png,image captioning :in chocolate bar,xbar chocolate bar,,,,,,2,
85803400616,http://static.meijer.com/Media/008/58034/0085803400616_0_A1C1_0600.png,image captioning :in thai spicy sauce,"myfaal spicy vinjo, 12 oz",,,,,,2,
85571200861,http://static.meijer.com/Media/008/55712/0085571200861_0_A1C1_0600.png,image captioning :s che,do's cheese chips,,,,,,2,
75450204152,http://static.meijer.com/Media/007/54502/0075450204152_0_A1C1_0600.png,image captioning :ian comion com,copper elite compression knee sleeve,,,,,,5,
7124965013,http://static.meijer.com/Media/000/71249/0007124965013_0_A1C1_0600.png,image captioning :ianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,l'orelle lip gloss,,,,,,4,
30997014304,http://static.meijer.com/Media/003/09970/0030997014304_0_A1C1_0600.png,image captioning :ian eyelashe eyelashes eyelash,almay eyelashe eye,,,,,,4,
81851201246,http://static.meijer.com/Media/008/18512/0081851201246_2_A1C1_0600.png,image captioning :in spek sp,spe peach and pine smooth,,,,,,3,
7124962769,http://static.meijer.com/Media/000/71249/0007124962769_0_A1C1_0600.png,image captioning :ian eyebrow liner,lorei brow define,,,,,,2,
73528221276,http://static.meijer.com/Media/007/35282/0073528221276_0_A1C1_0600.png,image captioning :ianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,a white device with button on it,,,,,,2,
88692651234,http://static.meijer.com/Media/008/86926/0088692651234_2_A1C1_0600.png,image captioning : vitamin d supplement,vitamin d supplement,,,,,,3,
4155453033,http://static.meijer.com/Media/000/41554/0004155453033_0_A1C1_0600.png,image captioning :ing pen,ny,,,,,,1,
86000171964,http://static.meijer.com/Media/008/60001/0086000171964_0_A1C1_0600.png,image captioning :in condition,a bottle of liquid with spray on it,,,,,,2,
85648400506,http://static.meijer.com/Media/008/56484/0085648400506_0_A1C1_0600.png,image captioning :ian lavender,lavender,,,,,,1,
1958571375,http://static.meijer.com/Media/000/19585/0001958571375_0_A1C1_0600.png,image captioning :ianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,a woman in white bra top,,,,,,3,
4393574181,http://static.meijer.com/Media/000/43935/0004393574181_1_A1C1_0600.png,image captioning :s 5 pack of baby socks,hans 5 pack of baby socks,,,,,,3,
71373334728,http://static.meijer.com/Media/071/37333/0713733347280_a1c1_0600.png,image captioning : coffee ground,ground,,,,,,1,
70882063926,http://static.meijer.com/Media/007/08820/0070882063926_0_A1C1_0600.png,image captioning :ing mens black crew socks,a pair of black socks with tag,,,,,,3,
61087001086,http://static.meijer.com/Media/006/10870/0061087001086_1_A1C1_0600.png,image captioning : necklace blue sapphire,a blue crystal pendant with diamond accent,,,,,,4,
70882017914,http://static.meijer.com/Media/007/08820/0070882017914_0600.png,image captioning :ianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,women's performance tank top,,,,,,4,
4529904805,http://static.meijer.com/Media/000/45299/0004529904805_0_A1C1_0600.png,image captioning :ing lo surprise,lo surprise pack of 6,,,,,,2,
19416456511,http://static.meijer.com/Media/001/94164/0019416456511_0_A1C1_0600.png,image captioning :s comtional com,hans comfort fit micro briefs,,,,,,3,
68198377424,http://static.meijer.com/Media/006/81983/0068198377424_0_A1C1_0600.png,image captioning :s clipart clip,a colorful polka dot print lan,,,,,,2,
70882062294,http://static.meijer.com/Media/007/08820/0070882062294_0_A1C1_0600.png,image captioning :s mens full cushion crew socks,men's performance crew socks,,,,,,4,
71928317783,http://static.meijer.com/Media/007/19283/0071928317783_1_A1C1_0600.png,image captioning :in paper plates,a blue and green paper plate with the words'mere ',,,,,,3,
4316846661,http://static.meijer.com/Media/000/43168/0004316846661_0_A1C1_0600.png,image captioning :in led bulb ref light,"ref led bulb, e - lit,",,,,,,2,
70777319390,http://static.meijer.com/Media/007/07773/0070777319390_1_A1C1_0600.png,image captioning :ing adec acl05 acl0 ac,ace professional filter,,,,,,3,
2310011785,http://static.meijer.com/Media/000/23100/0002310011785_1_A1C1_0600.png,image captioning :ian cat products,a package of cat treats,,,,,,3,
71928320451,http://static.meijer.com/Media/007/19283/0071928320451_2_A1C1_0600.png,image captioning :in toilet roll paper,"hug ultra toilet roll, 2 - ples, 6 pl",,,,,,3,
71928391583,http://static.meijer.com/Media/007/19283/0071928391583_0_A1C1_0600.png,image captioning :ing collar,a blue leash with red and white stripe,,,,,,2,
5113162665,http://static.meijer.com/Media/000/51131/0005113162665_1_A1C1_0600.png,image captioning :in scotchin scotch tape,scotch tape for carpet and hardwood,,,,,,4,
71928392186,http://static.meijer.com/Media/007/19283/0071928392186_0_A1C1_0600.png,image captioning : dog collars,a red dog collar with black and white paw print,,,,,,5,
7734135710,http://static.meijer.com/Media/000/77341/0007734135710_1_A1C1_0600.png,image captioning :in steering covers,a steering wheel cover with black and white stripe,,,,,,3,
88692618878,http://static.meijer.com/Media/088/69261/0886926188783_a1c1_0600.png,image captioning : food products beef ear,a bag of chicken wings,,,,,,1,
7432912339,http://static.meijer.com/Media/000/74329/0007432912339_0_A1C1_0600.png,image captioning :s hot bites pick,ohap hot bites pickle,,,,,,3,
2200002036,http://static.meijer.com/Media/000/22000/0002200002036_0_A1C1_0600.png,image captioning :in extra long lasting toilet paper,extra long lasting paper towels,,,,,,1,
7922305610,http://static.meijer.com/Media/000/79223/0007922305610_0_A1C1_0600.png,image captioning :ing,a red plastic jerry,,,,,,1,
4000000105,http://static.meijer.com/Media/000/40000/0004000000105_3_A1C1_0600.png,image captioning : snicks almond chocolate bar,snicks almond chocolate bar,,,,,,5,
4.89E+11,http://static.meijer.com/Media/048/94067/0489406732033_1_A1C1_0600.png,image captioning :ioning com wiring harness,a red jumper,,,,,,1,
4125062066,http://static.meijer.com/Media/000/41250/0004125062066_1_A1C1_0600.png,image captioning : motor oil,motor oil conventional 5w30,,,,,,3,
79356901236,http://static.meijer.com/Media/007/93569/0079356901236_0_A1C1_0600.png,image captioning :incoincookii com pick,a jar of pickled pickles,,,,,,4,
4125020088,http://static.meijer.com/Media/000/41250/0004125020088_2_A1C1_0600.png,image captioning :infoin,a white plate with bunch of doughs on it,,,,,,3,
85658400423,http://static.meijer.com/Media/008/56584/0085658400423_1_A1C1_0600.png,image captioning :ing comion com,the power bar is made with organic ingredients and,,,,,,1,
4980710823,http://static.meijer.com/Media/004/98071/0049807108236_a1c1_0600.png,image captioning :inginginginginginginginginginginginginginginginginginginginginginginginginginginginginging,a bottle of power steering fluid,,,,,,3,
64336211012,http://static.meijer.com/Media/006/43362/0064336211012_0_A1C1_0600.png,image captioning :s comion mushrooms earthy organic,earthy organic wild mushrooms,,,,,,4,
5450010174,http://static.meijer.com/Media/000/54500/0005450010174_2_A1C1_0600.png,image captioning :ansunioning angus beef hot dog buns,a bag of hot dog buns,,,,,,1,
5783602261,http://static.meijer.com/Media/000/57836/0005783602261_1_A1C1_0600.png,image captioning :in tomatoes,a plastic container filled with tomatoes and label,,,,,,3,
3740702107,http://static.meijer.com/Media/000/37407/0003740702107_0_A1C1_0600.png,image captioning :in mues de mu,a bag of muesed bread,,,,,,2,
70882026467,http://static.meijer.com/Media/007/08820/0070882026467_3_A1C1_0600.png,image captioning : food spaghetti meat,spaghetti meat,,,,,,2,
2400050787,http://static.meijer.com/Media/000/24000/0002400050787_0600.png,image captioning : fruit,a cup of fruit with white background,,,,,,1,
21278600000,http://static.meijer.com/Media/002/12786/0021278600000_0_A1C1_0600.png,image captioning :infoionistly,a bowl of pasta with white background,,,,,,2,
70882002471,http://static.meijer.com/Media/007/08820/0070882002471_0_A1C1_0600.png,image captioning :in cherry pie,a box of cherry pie,,,,,,4,
21784400000,http://static.meijer.com/Media/002/17844/0021784400000_2_A1C1_0600.png,image captioning : food blog,a bowl of chicken salad with grapes and apples,,,,,,5,
7146402280,http://static.meijer.com/Media/000/71464/0007146402280_0_A1C1_0600.png,image captioning :infoionist soy honey ranch,a bottle of salad sauce with red cap,,,,,,2,
38290844003,http://static.meijer.com/Media/003/82908/0038290844003_0600.png,image captioning :in butral buturail bu,a box of b - utafil,,,,,,1,
71373330351,http://static.meijer.com/Media/071/37333/0713733303514_a1c1_0600.png,image captioning :ianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,moist,,,,,,1,
4116743106,http://static.meijer.com/Media/000/41167/0004116743106_0600.png,image captioning :in algrad allergy congestion relief,algra allergy congestion relief,,,,,,3,
76023619748,http://static.meijer.com/Media/076/02361/0760236197485_a1r1_0600.png,image captioning :in menstrip womencentcentcentcentcentcentcentcentcentcentcentcentcentcentcentcentcentcentcentcentcentcentcentcentcent,women's century multi multivitant supplement,,,,,,3,
71928319407,http://static.meijer.com/Media/007/19283/0071928319407_0600.png,image captioning :incli com,"melphin, 1 hour, hour",,,,,,1,
4125052533,http://static.meijer.com/Media/004/12505/0041250525332_a1c1_0600.png,image captioning :in petilililililililililililililililililililililililililililil,a jar of pure petroleum,,,,,,2,
70414200007,http://static.meijer.com/Media/007/04142/0070414200007_1_A1C1_0600.png,image captioning :inflioning flastor fl,the front of a box flastor daily supplement,,,,,,1,
4125056427,http://static.meijer.com/Media/000/41250/0004125056427_0600.png,image captioning :ian vitamin supplement,vitamin b - 10mg tablets,,,,,,3,
71373320204,http://static.meijer.com/Media/007/13733/0071373320204_1_A1C1_0600.png,image captioning :in fish oil,fish oil for omega,,,,,,3,
88692647395,http://static.meijer.com/Media/008/86926/0088692647395_2_A1C1_0600.png,image captioning :in herbal health product reviews,a bottle of cetro extract,,,,,,1,
